request_id,department_id,request_date,fiscal_year,loggedTime
12320,2,1/2/2012,2012,10.5
12321,3,1/4/2012,2012,10.5
12322,5,1/6/2012,2012,10.5
12323,6,1/8/2012,2012,4.6
12324,2,1/9/2012,2012,10.5
12325,2,1/11/2012,2012,10.5
12326,2,1/13/2012,2012,11.6
12327,3,1/14/2012,2012,5.3
12328,2,1/15/2012,2012,10.5
12329,4,1/17/2012,2012,10.5
12330,1,1/18/2012,2012,9.4
12331,1,1/20/2012,2012,9.1
12332,2,1/21/2012,2012,10.5
12333,3,1/23/2012,2012,1.7
12334,6,1/24/2012,2012,10.5
12335,1,1/26/2012,2012,10.5
12336,5,1/26/2012,2012,28.5
12337,4,1/27/2012,2012,6.7
12338,6,1/29/2012,2012,10.5
12339,4,1/30/2012,2012,5.5
12340,6,1/31/2012,2012,3.9
12341,6,2/1/2012,2012,10.5
12342,4,2/2/2012,2012,13.2
12343,2,2/3/2012,2012,10.5
12344,1,2/5/2012,2012,4.3
12345,6,2/6/2012,2012,13.3
12346,3,2/6/2012,2012,7
12347,3,2/7/2012,2012,8.9
12348,2,2/8/2012,2012,10.5
12349,6,2/9/2012,2012,13.7
12350,6,2/10/2012,2012,9.8
12351,2,2/11/2012,2012,7.8
12352,6,2/11/2012,2012,16.8
12353,6,2/12/2012,2012,18.7
12354,1,2/14/2012,2012,7
12355,4,2/15/2012,2012,16.4
12356,1,2/15/2012,2012,8.1
12357,2,2/16/2012,2012,5.7
12358,3,2/17/2012,2012,1.4
12359,3,2/18/2012,2012,11.7
12360,6,2/19/2012,2012,11.8
12361,2,2/19/2012,2012,10.5
12362,6,2/20/2012,2012,2.2
12363,2,2/20/2012,2012,12
12364,5,2/21/2012,2012,10.5
12365,2,2/22/2012,2012,10.5
12366,6,2/22/2012,2012,14
12367,1,2/23/2012,2012,8.8
12368,2,2/24/2012,2012,10.5
12369,4,2/25/2012,2012,13.1
12370,1,2/26/2012,2012,10.5
12371,2,2/27/2012,2012,10.5
12372,3,2/28/2012,2012,21.5
12373,6,2/28/2012,2012,7
12374,2,3/1/2012,2012,18.8
12375,2,3/2/2012,2012,10.5
12376,1,3/2/2012,2012,6.5
12377,2,3/2/2012,2012,11.3
12378,5,3/3/2012,2012,6.9
12379,1,3/3/2012,2012,8.9
12380,6,3/4/2012,2012,9.4
12381,2,3/4/2012,2012,11.6
12382,1,3/5/2012,2012,4.4
12383,2,3/5/2012,2012,17.1
12384,1,3/6/2012,2012,10.5
12385,2,3/6/2012,2012,15.2
12386,2,3/7/2012,2012,6.4
12387,6,3/7/2012,2012,14.6
12388,2,3/8/2012,2012,7.3
12389,6,3/8/2012,2012,13.7
12390,3,3/9/2012,2012,6.9
12391,1,3/9/2012,2012,5.6
12392,4,3/9/2012,2012,22.9
12393,4,3/10/2012,2012,17.1
12394,4,3/11/2012,2012,13.8
12395,6,3/11/2012,2012,10.5
12396,3,3/12/2012,2012,4.4
12397,5,3/12/2012,2012,11.1
12398,2,3/13/2012,2012,3.9
12399,2,3/13/2012,2012,21.8
12400,2,3/14/2012,2012,7.3
12401,2,3/14/2012,2012,10.5
12402,6,3/15/2012,2012,8.8
12403,6,3/15/2012,2012,16.8
12404,2,3/16/2012,2012,23
12405,3,3/16/2012,2012,6.1
12406,6,3/17/2012,2012,16.8
12407,4,3/17/2012,2012,5
12408,2,3/18/2012,2012,5
12409,4,3/18/2012,2012,12.2
12410,6,3/19/2012,2012,30.6
12411,4,3/20/2012,2012,8.3
12412,4,3/20/2012,2012,10.5
12413,3,3/21/2012,2012,10.8
12414,2,3/21/2012,2012,24.9
12415,4,3/22/2012,2012,3.3
12416,1,3/22/2012,2012,14.9
12417,2,3/23/2012,2012,6.1
12418,6,3/23/2012,2012,24.2
12419,2,3/24/2012,2012,10.5
12420,6,3/25/2012,2012,10.5
12421,6,3/25/2012,2012,16.7
12422,2,3/26/2012,2012,10.5
12423,2,3/27/2012,2012,24.9
12424,4,3/27/2012,2012,7.7
12425,1,3/28/2012,2012,11.9
12426,4,3/28/2012,2012,1.5
12427,4,3/29/2012,2012,11.5
12428,1,3/29/2012,2012,6.7
12429,4,3/30/2012,2012,12.8
12430,2,3/31/2012,2012,24.1
12431,1,3/31/2012,2012,2.4
12432,4,4/1/2012,2012,14.6
12433,1,4/2/2012,2012,27.5
12434,6,4/2/2012,2012,4.9
12435,1,4/3/2012,2012,32.6
12436,2,4/3/2012,2012,7.8
12437,4,4/4/2012,2012,8.1
12438,2,4/4/2012,2012,46.6
12439,3,4/5/2012,2012,7.9
12440,2,4/5/2012,2012,29.2
12441,2,4/6/2012,2012,12.1
12442,2,4/6/2012,2012,9.6
12443,2,4/7/2012,2012,10.5
12444,4,4/8/2012,2012,10.5
12445,2,4/9/2012,2012,2.9
12446,1,4/9/2012,2012,13.7
12447,1,4/10/2012,2012,11.1
12448,1,4/11/2012,2012,22
12449,5,4/12/2012,2012,6.3
12450,2,4/13/2012,2012,12.7
12451,4,4/14/2012,2012,26.9
12452,1,4/14/2012,2012,10.5
12453,4,4/15/2012,2012,23.5
12454,2,4/16/2012,2012,4.4
12455,1,4/16/2012,2012,29.8
12456,1,4/17/2012,2012,10.5
12457,5,4/18/2012,2012,10.4
12458,4,4/18/2012,2012,10.5
12459,2,4/19/2012,2012,2.2
12460,2,4/20/2012,2012,10.5
12461,4,4/20/2012,2012,19.9
12462,2,4/21/2012,2012,7.9
12463,4,4/22/2012,2012,14
12464,2,4/23/2012,2012,8.6
12465,4,4/24/2012,2012,10.6
12466,2,4/25/2012,2012,2.3
12467,1,4/26/2012,2012,3.8
12468,6,4/27/2012,2012,6.9
12469,2,4/28/2012,2012,9.7
12470,2,4/28/2012,2012,16.2
12471,4,4/29/2012,2012,13.4
12472,2,4/30/2012,2012,10.5
12473,4,5/2/2012,2012,10.5
12474,6,5/3/2012,2012,13
12475,1,5/4/2012,2012,9.8
12476,6,5/5/2012,2012,8.3
12477,6,5/6/2012,2012,12.7
12478,3,5/7/2012,2012,60.8
12479,6,5/7/2012,2012,10.5
12480,1,5/9/2012,2012,8.7
12481,2,5/9/2012,2012,13.8
12482,1,5/10/2012,2012,5.9
12483,1,5/11/2012,2012,11.9
12484,2,5/11/2012,2012,8.8
12485,2,5/12/2012,2012,10.5
12486,4,5/13/2012,2012,17.2
12487,3,5/14/2012,2012,8.7
12488,5,5/14/2012,2012,14.5
12489,2,5/15/2012,2012,7.3
12490,2,5/16/2012,2012,10.3
12491,1,5/17/2012,2012,21.3
12492,2,5/17/2012,2012,2.1
12493,2,5/18/2012,2012,10.5
12494,2,5/19/2012,2012,9.5
12495,4,5/20/2012,2012,10.5
12496,6,5/20/2012,2012,5.7
12497,6,5/22/2012,2012,10.5
12498,4,5/22/2012,2012,4.7
12499,4,5/23/2012,2012,8.2
12500,4,5/23/2012,2012,13.2
12501,6,5/24/2012,2012,28.8
12502,2,5/25/2012,2012,3.8
12503,2,5/26/2012,2012,10.5
12504,4,5/26/2012,2012,3.7
12505,6,5/27/2012,2012,4.3
12506,2,5/28/2012,2012,61.7
12507,2,5/28/2012,2012,10.5
12508,5,5/29/2012,2012,2.5
12509,4,5/29/2012,2012,18.5
12510,1,5/30/2012,2012,11.2
12511,2,5/31/2012,2012,2.9
12512,1,5/31/2012,2012,176
12513,3,6/1/2012,2012,2.4
12514,2,6/1/2012,2012,12.6
12515,1,6/2/2012,2012,12.9
12516,4,6/2/2012,2012,4.6
12517,1,6/3/2012,2012,8.1
12518,2,6/3/2012,2012,10.5
12519,1,6/4/2012,2012,6.8
12520,2,6/5/2012,2012,11.3
12521,2,6/5/2012,2012,13.1
12522,2,6/6/2012,2012,10
12523,3,6/6/2012,2012,10.5
12524,2,6/7/2012,2012,12.4
12525,2,6/7/2012,2012,6.6
12526,4,6/8/2012,2012,4.6
12527,4,6/8/2012,2012,15.9
12528,1,6/9/2012,2012,4
12529,2,6/10/2012,2012,26.1
12530,4,6/10/2012,2012,10.5
12531,2,6/10/2012,2012,4.1
12532,2,6/11/2012,2012,10.7
12533,6,6/11/2012,2012,10.3
12534,2,6/12/2012,2012,10.5
12535,4,6/13/2012,2012,7.1
12536,5,6/13/2012,2012,7
12537,3,6/14/2012,2012,13.4
12538,4,6/14/2012,2012,49.8
12539,2,6/14/2012,2012,10.5
12540,1,6/15/2012,2012,2
12541,1,6/15/2012,2012,10.6
12542,1,6/16/2012,2012,28.4
12543,1,6/16/2012,2012,6.6
12544,1,6/17/2012,2012,11.1
12545,6,6/18/2012,2012,7.6
12546,1,6/18/2012,2012,18
12547,6,6/18/2012,2012,24.5
12548,5,6/19/2012,2012,9
12549,2,6/19/2012,2012,16.8
12550,3,6/20/2012,2012,8.6
12551,5,6/20/2012,2012,10.5
12552,2,6/21/2012,2012,13
12553,1,6/21/2012,2012,33.2
12554,6,6/22/2012,2012,4.4
12555,2,6/22/2012,2012,9.2
12556,5,6/23/2012,2012,17
12557,2,6/23/2012,2012,40.3
12558,2,6/24/2012,2012,14.3
12559,1,6/24/2012,2012,20.7
12560,2,6/25/2012,2012,6.1
12561,2,6/25/2012,2012,14.9
12562,1,6/26/2012,2012,17
12563,2,6/26/2012,2012,2.3
12564,1,6/26/2012,2012,8
12565,1,6/27/2012,2012,26.6
12566,2,6/27/2012,2012,4.5
12567,1,6/28/2012,2012,11.6
12568,2,6/28/2012,2012,10.5
12569,6,6/29/2012,2012,4.4
12570,4,6/29/2012,2012,9.6
12571,1,6/30/2012,2012,9.4
12572,2,6/30/2012,2012,11.6
12573,2,7/1/2012,2012,10.7
12574,5,7/1/2012,2012,9
12575,5,7/2/2012,2012,11.8
12576,5,7/3/2012,2012,10.5
12577,2,7/4/2012,2012,20
12578,4,7/4/2012,2012,12.9
12579,4,7/5/2012,2012,9.6
12580,6,7/6/2012,2012,17
12581,5,7/7/2012,2012,12
12582,6,7/8/2012,2012,16.1
12583,1,7/9/2012,2012,30.3
12584,1,7/9/2012,2012,10.5
12585,5,7/10/2012,2012,9.2
12586,2,7/10/2012,2012,7.8
12587,1,7/11/2012,2012,19.5
12588,1,7/12/2012,2012,4.4
12589,4,7/12/2012,2012,17.7
12590,6,7/13/2012,2012,8.7
12591,4,7/14/2012,2012,17
12592,6,7/15/2012,2012,10.5
12593,4,7/16/2012,2012,4
12594,1,7/17/2012,2012,10.5
12595,2,7/17/2012,2012,46.7
12596,6,7/18/2012,2012,11.8
12597,1,7/19/2012,2012,3.5
12598,2,7/20/2012,2012,18.9
12599,1,7/21/2012,2012,5.6
12600,5,7/22/2012,2012,14.2
12601,1,7/23/2012,2012,10.5
12602,1,7/25/2012,2012,5
12603,3,7/26/2012,2012,14.2
12604,3,7/27/2012,2012,15
12605,5,7/28/2012,2012,8.5
12606,5,7/29/2012,2012,24
12607,6,7/29/2012,2012,10.5
12608,1,7/30/2012,2012,10.5
12609,6,7/31/2012,2012,10.5
12610,6,8/1/2012,2012,3.7
12611,4,8/2/2012,2012,9.7
12612,4,8/3/2012,2012,5.8
12613,1,8/4/2012,2012,13.4
12614,2,8/5/2012,2012,7.3
12615,6,8/7/2012,2012,16.2
12616,2,8/8/2012,2012,10.5
12617,6,8/8/2012,2012,5.6
12618,6,8/9/2012,2012,12.6
12619,2,8/10/2012,2012,9.8
12620,1,8/11/2012,2012,1.3
12621,1,8/13/2012,2012,7
12622,4,8/13/2012,2012,26.3
12623,2,8/14/2012,2012,16.6
12624,2,8/15/2012,2012,10.5
12625,1,8/15/2012,2012,8.9
12626,4,8/16/2012,2012,10.5
12627,2,8/17/2012,2012,2.6
12628,2,8/18/2012,2012,16.7
12629,6,8/19/2012,2012,10.5
12630,4,8/19/2012,2012,5.3
12631,1,8/20/2012,2012,13.2
12632,3,8/21/2012,2012,5.2
12633,2,8/22/2012,2012,7.1
12634,2,8/22/2012,2012,20.5
12635,2,8/23/2012,2012,53.2
12636,2,8/24/2012,2012,10.5
12637,3,8/24/2012,2012,33.4
12638,1,8/25/2012,2012,10.5
12639,5,8/26/2012,2012,10.6
12640,6,8/26/2012,2012,10.4
12641,2,8/27/2012,2012,9.5
12642,3,8/27/2012,2012,7
12643,4,8/28/2012,2012,17.1
12644,2,8/28/2012,2012,32.8
12645,1,8/29/2012,2012,14.2
12646,6,8/29/2012,2012,2.7
12647,2,8/29/2012,2012,10.5
12648,6,8/30/2012,2012,10.5
12649,4,8/31/2012,2012,10.1
12650,2,8/31/2012,2012,7.4
12651,2,9/1/2012,2012,3.8
12652,1,9/1/2012,2012,16.4
12653,2,9/2/2012,2012,13.9
12654,3,9/2/2012,2012,9.3
12655,1,9/3/2012,2012,7.3
12656,1,9/3/2012,2012,5.2
12657,1,9/4/2012,2012,12.4
12658,4,9/4/2012,2012,29.2
12659,3,9/5/2012,2012,13.6
12660,6,9/5/2012,2012,10.5
12661,2,9/6/2012,2012,1.1
12662,1,9/7/2012,2012,8.8
12663,4,9/7/2012,2012,29.8
12664,2,9/7/2012,2012,10.5
12665,3,9/8/2012,2012,10.5
12666,1,9/8/2012,2012,10.5
12667,1,9/9/2012,2012,12.3
12668,2,9/9/2012,2012,10.5
12669,1,9/10/2012,2012,9.5
12670,1,9/10/2012,2012,11.5
12671,4,9/11/2012,2012,18.3
12672,2,9/11/2012,2012,10.5
12673,6,9/11/2012,2012,21.1
12674,5,9/12/2012,2012,10.8
12675,2,9/12/2012,2012,12
12676,1,9/13/2012,2012,18.1
12677,4,9/13/2012,2012,8.4
12678,1,9/14/2012,2012,13
12679,1,9/14/2012,2012,7.8
12680,1,9/15/2012,2012,5.1
12681,4,9/15/2012,2012,12
12682,2,9/16/2012,2012,15.8
12683,3,9/16/2012,2012,10.5
12684,4,9/17/2012,2012,14.3
12685,6,9/17/2012,2012,6.7
12686,6,9/18/2012,2012,2.8
12687,6,9/18/2012,2012,24.6
12688,2,9/19/2012,2012,1.7
12689,5,9/19/2012,2012,13.2
12690,2,9/20/2012,2012,2.5
12691,3,9/20/2012,2012,12.2
12692,1,9/21/2012,2012,11.1
12693,1,9/21/2012,2012,24
12694,2,9/22/2012,2012,10.6
12695,2,9/22/2012,2012,10.5
12696,2,9/23/2012,2012,9.6
12697,6,9/23/2012,2012,35
12698,6,9/24/2012,2012,25
12699,2,9/24/2012,2012,4.6
12700,6,9/25/2012,2012,7.4
12701,2,9/25/2012,2012,27.1
12702,1,9/26/2012,2012,9.1
12703,1,9/26/2012,2012,8.3
12704,2,9/27/2012,2012,15.8
12705,2,9/28/2012,2012,8.2
12706,2,9/28/2012,2012,30.1
12707,2,9/29/2012,2012,9.9
12708,3,9/29/2012,2012,11.1
12709,5,9/30/2012,2012,13.5
12710,2,9/30/2012,2012,15.8
12711,3,10/1/2012,2012,13.8
12712,4,10/1/2012,2012,10.5
12713,6,10/2/2012,2012,8.7
12714,1,10/2/2012,2012,10
12715,4,10/3/2012,2012,10.6
12716,6,10/3/2012,2012,6.2
12717,3,10/4/2012,2012,6.5
12718,4,10/4/2012,2012,10.5
12719,1,10/5/2012,2012,10.5
12720,1,10/6/2012,2012,5.2
12721,1,10/6/2012,2012,31
12722,2,10/7/2012,2012,59.9
12723,2,10/8/2012,2012,4.9
12724,2,10/8/2012,2012,10.5
12725,6,10/9/2012,2012,18.9
12726,2,10/10/2012,2012,8.8
12727,1,10/11/2012,2012,15
12728,1,10/12/2012,2012,3.7
12729,3,10/13/2012,2012,4.8
12730,2,10/14/2012,2012,3.7
